Subject;TextBody;Complaint;Complaint_type
Loading next truck;Hi Victoria I was just wondering when you want to load your next truck and which PI you want to load. Thank you in advance Liesbeth Soubry Customer Service Agristo nv P +32 56 54 11 59 thread::fHx-3sSOFf-l0kVgfHWlcXQ::;False;
Prem Park 04.09.2024;Hi Lucie, Just to confirm, this one is to be cancelled?;False;
Fwd: account;Hi Sergio and Service team, @Sergio Sara D is on holiday but I guess you know? Neil at ICS leaves at 1400 hrs - Belgian time so he wants to pay what is due. Please see his email below Many thanks and much appreciated;False;
Aldi SHEPPEY DEL 06/09;Hi Sarah, OK confirmed.;False;
Bisphenol A questionnaire - response required;Good morning We have received a questionnaire from Samworth Bros, who receive the (Asda) Café Hash Browns, regarding the use of Bisphenol A in packaging and production materials in light of the upcoming legislation changes. The questions are included below followed by some detail about Bisphenol A and and the legislative upcoming changes. Please can you review the below and provide a response to the questions. If BPA/Bisphenol A is present additional information is required. A response is requested by close of business on the 1st September, any issues please let me know Leigh 1. Are any of your raw materials / ingredients / packaging packaged to us in materials containing BPA & Bisphenols? * Yes/No If yes, please provide details. 2. Do any of your WIP materials used within your process contain BPA or Bisphenols? * Yes/No If yes, please provide details. 3. Does any of your food contact processing equipment contain BPA or Bisphenols? * Yes/No If yes, please provide details. 4. Please provide/attach a written declaration covering the above criteria * As a supplier to Samworth Brothers we require your support in understanding any exposure to the proposed EU legislation change in the use of BPA and Bisphenols in packaging and equipment within your process. Context of EU legislation change: On June 12, 2024, an EU Member States expert committee voted in support of a European Commission proposal to ban some bisphenols, including bisphenol A (BPA), in food contact materials. The restriction proposed by the European Commission would effectively ban from the manufacture and use of food contact materials those containing BPA or other carcinogenic, mutagenic, toxic, and endocrine-disrupting bisphenols. The ban would cover plastic and coated packaging, but also other types of Food contact surfaces like food processing equipment. The proposal follows a different ban that was enacted six years prior prohibiting BPA in drinking bottles and containers for infants and children, as well as its use in other consumer products like receipt paper. The new, proposed ban will apply in particular to food and drink cans, kitchenware, tableware, and food contact articles used in professional food production. Next, the European Parliament and the Council will assess the proposal. If there is no opposition, the ban could be adopted by the end of 2024, with implementation periods of up to three years. The proposed ban is based on the European Food Safety Authority’s (EFSA’s) recent lowering of its tolerable daily intake (TDI) for BPA. EFSA’s current opinion on the TDI for BPA is grounded in a nontraditional risk assessment process, which has drawn both support and dissent from the global scientific community. BPA BPA (and other Bisphenols) are chemicals used in production of plastics and resins. They have historically been used widely in food contact materials and packaging, including: • The coatings and linings used for food and beverage cans • Polycarbonate bottles/containers • Polycarbonate moulds • Rubber seals • Inks • Adhesives • Food contact materials (FCM) including bulk storage containers and moulds. They are being banned due to concerns that they are mutagenic (affecting Human DNA) carcinogenic (cancer-causing) or because they interfere and negatively impact with the human reproduction or hormone systems. Scope The scope includes BPA and all other Bisphenols that are also a known risk, e.g. Bisphenol S: • In finished product food packaging • In food contact surfaces of bulk storage and transportation containers used for food • All other food contact materials and surfaces used in the production of food through the manufacturing process of ingredients and finished products • Varnishes & coatings • Printing inks • Adhesives • Rubber (e.g. seals) • Ion exchange filters • For the other Bisphenols (other than BPA) there may be some scope to continue their use for specific applications, but only if given specific prior legal approval by the relevant Authorities • There are also testing requirements to show that BPA is not present in food contact materials and able to migrate into food, particularly in recycled paper and board packaging • Food contact materials and packaging must be accompanied by a written declaration that they comply with the new requirements Timescales • Food contact materials as sold (e.g. bottles, films etc) and products placed in FCM containing BPA can remain on the market for 18 months after the legislation comes into effect (June 2026) • Certain food contact materials including equipment used in manufacturing can continue to be used for 3 years after the legislation comes into effect (Dec 2027);False;
Aldi SHEPPEY DEL 06/09;Hi, Please see below order for delivery to Aldi : 30/08/2024 06/09/2024 ALDI STORES LTD (SHEPPEY) 1050106 134458 COAL156 ALDI ALPHABET LETTERS 16X454G 210 3 Case 501 30/08/2024 06/09/2024 ALDI STORES LTD (SHEPPEY) 1050106 134458 COAL143 ALDI WAFFLES 12X680G 600 8 Case 501 30/08/2024 06/09/2024 ALDI STORES LTD (SHEPPEY) 1050106 134458 COAL106 ALDI HASH BROWN 12X750G 1050 15 Case 501 EDI: 657572 DEL DATE: 06/09/2024 DEL TIME: 5:01am Please confirm receipt.;False;
Newark booking 05.09.2024;Good Morning Please can you pass on the below booking to your haulier;False;
LIDL NFL order 07.09.2024;Hello, Due to recent shortages on roasting potatoes, please can the attached order due on 07.09 be delivered earlier.;False;
Nuevo pedido MDQ9 Martinez de Quel;Zoë Feys Customer Service Agristo nv P +32 56 54 11 67 --------------- Original Message --------------- From: David Soto [david@srosell.es] Sent: 30/08/2024 07:44 To: service@agristo.com Cc: central@srosell.es Subject: Nuevo pedido MDQ9 Martinez de Quel Buenos días Zoë, Adjunto nuevo pedido para Martinez de Quel. Saludos, David Soto Rosell .............................................................................. Waterstraat 40, B-8531 Harelbeke-Hulste, Belgium P + 32 56 73 50 32 M + 34.667.63.64.00 www.agristo.com Libre de virus.www.avast.com thread::Sy6LjV0hGmqSmml7hePn5HQ::;False;
Bell Farms French Fries 1kg Artwork v1;Hi Evelien, Jacinta Can you please review v1 of artwork for Bell Farms French Fries 1kg? We need to submit feedback in the Opal portal by next week on Tuesday 03/09/24. Cheers, To be the best we can be Laura Cvetkovski Project Coordinator E: laura.cvetkovski@orange-and-green.com <mailto:laura.cvetkovski@orange-and-green.com> T: +61 (0) 408 036 902 (Mobile) Orange & Green Pty Ltd 7/400 Canterbury Road, Surrey Hills 3127, Victoria, Australia www.orange-and-green.com <https://protect.checkpoint.com/v2/___https://cas5-0-urlprotect.trendmicro.com/wis/clicktime/v1/query?url=http%3a%2f%2fwww.orange%2dand%2dgreen.com&umid=45f24d09-0661-11ee-8159-6045bd9d706c&auth=3bd1ed0ea25e030aebac2180cda48b2d7a1ccc30-00d010efdd472b70d7ada847f7b39b7dfcf3197b___.YzJlOmFncmlzdG86YzpvOmJkMDgwZGQ5MTFmYTYyYjEzMTBlNzM0ZmM3MWU3M2JiOjY6ZjdiMjo4Zjc1ZWZmNjFmYzdhMTJhODhkNWZhNjY2MjZkZjFkOGMwMTg0NjlmMmNjMmExY2Y5MTExZWYxZjMyNTY0NzU1Omg6RjpO> This email and any attachments may contain privileged and confidential information and are intended for the named addressee only. If you have received this e-mail in error, please notify the sender and delete this e-mail immediately. Any confidentiality, privilege or copyright is not waived or lost because this e-mail has been sent to you in error. It is your responsibility to check this e-mail and any attachments for viruses. No warranty is made that this material is free from computer virus or any other defect or error. Any loss/damage incurred by using this material is not the sender's responsibility. The sender's entire liability will be limited to resupplying the material.;False;
PO 79005 and PO 79007;Dear Alexia, hello! Please use CMA to Manzanillo, and Maersk to Veracruz. Thank you! Zaur Sent via the Samsung Galaxy S22 Ultra 5G, an AT&T 5G smartphone Get Outlook for Android<https://aka.ms/AAb9ysg> ________________________________ From: Agristo Service <service@agristo.com> Sent: Friday, August 30, 2024 1:37:42 AM To: Zaur Chinokaev <ZChinokaev@rjadams.com> Subject: PO 79005 and PO 79007 Hello Zaur, For the orders PO 79005 and PO 79007 were at first booked with Maersk but they are having a lot of equipment issues and therefore the orders were postponed by Maersk. PO 79005: POD MANZANILLO booking with Maersk with ETA 03/11 BUT we can go with CMA and then ETA is 28/10 PO 79007: POD VERACRUZ - booking with Maersk ETA 16/10 BUT we can go with HAPAG and then ETA is 03/10 Please let me know if you would like us to ship with Maersk or if you prefer the other options.;False;
90618981;Dear @service@agristo.com<mailto:service@agristo.com> Please be inform that we would like to know about the details of Invoice no. 90618981 as follow: - Date and time of loading the item into the container. - Date and time when the item will be export from port of loading.;False;
Payment Detail (Kindly confirm receipt);Hi, Payment Lydford 3629 for invoice 9062561. @orderrelease Can you release orders 470595 and 474350? Thank you!;False;
REMITTANCE;Good Morning Please find following screen print of our bank payment confirmation. International payment details Top of Form Payment information : 1125919140<https://bankline.securebusiness.natwest.com/bankline/natwest/payment/eventhistory.do?ptid=1125919140&org.apache.struts.taglib.html.TOKEN=1b0353eb658d3f26ad9cc2f7c0146cbb&ncn=53> Status: Future dated as at 30/08/2024 at 11:22 Date registered: 30/08/2024 at 11:22 Registered by:;False;
Aldi SAWLEY DEL 06/09;Hi, Please see below order for delivery to Aldi : Order Date Del.Date Del.Address Fullers Ord.No. Asda PO Product Code Description Qty Pallets Unit Delivery Time 30/08/2024 06/09/2024 ALDI SAWLEY DC 1050120 6500734725 COAL106 ALDI HASH BROWN 12X750G 980 14 Case 0 30/08/2024 06/09/2024 ALDI SAWLEY DC 1050120 6500734725 COAL143 ALDI WAFFLES 12X680G 900 12 Case 0 EDI: 657583 DEL DATE: 06/09/2024 Please confirm receipt. Thanks, Sarah;False;
Increased instances of  Brown Rot in Potatoes from Belgium;Hi Anna, I don't know where Fullers' information comes from, but our Agro department hasn't seen or heard any reports of worrying outbreaks. In any case, we cannot confirm this increase in our figures either.;False;
Order 474058 - BCF2401277 Delayed;Good morning Fatima, Our carrier just let us know that order BCF2401277 will be shipped in W37 instead of W36 due to insufficient reefers. My apologies for the inconvience.;False;
90618981;Good morning Areerat, Please find below the requested information related to invoice 90618981: - Date and time of loading the item into the container: loaded on 04/07/2024 (started at 20h17 /finished at 20h23) - Date and time when the item will be export from port of loading: departure date was 09/07/2024 ( I unfortunately can't give you an exact hour of departure) I hope this provides yous with the required info, do let me know if you have any additional questions or remarks!;False;
Increased instances of  Brown Rot in Potatoes from Belgium;I am out of the office until Monday, Please contact the technical team at Technical@fullersfoods.com and someone will pick up your query. Thank you Anna.;False;
AGRISTO UK LTD - URGENT - INVOICE NUMBER 0090627946 NOT PROCESSED AS DELIVERY NOT MADE;Hi The invoice below has not been processed as the delivery that was scheduled into our McCulla depot on 29.08.24 was not made. Invoice number: 0090627946 Value: £ 35,931.70 The invoice will not be processed unless you can provide stamped and signed proof of delivery within 3 weeks. After this time, please ensure the invoice is removed from your statement.;False;
Boeking nummers volgende week ex Rijkevorsel;Hallo Maarten, Hierbij de boeking nummer voor de order die we volgende week laden in Rijkevorsel: Slot booking ID DC Appointment Ship-to-party Order reference Port Delivery number 439347 Rijkevorsel 04-09-2024 07:00 4399 - GOLDEN DUNES GENERAL TRADING LLC 61392 Antwerp EBKG10094924 ​;False;
90618988;Dear @Agristo Service <service@agristo.com><mailto:service@agristo.com> Please be inform that we would like to know about the details of Invoice no. 90618988 as follow: - Date and time of loading the item into the container. - Date and time when the item will be export from port of loading.;False;
Overgang Duitse designs - Belviva;Mijn excuses, foute Els :-) Marlies De Ketele Customer Experience Officer Agristo nv P +32 56 54 09 63 M +32 472 41 34 87 --------------- Original Message --------------- From: Agristo Service [service@agristo.com] Sent: 30/08/2024 14:19 To: supplychain.belgium@iglo.com Subject: Overgang Duitse designs - Belviva Hoi Els, zie hieronder geschatte overgang op basis van huidige forecast Sprietjes van Frietjes: momenteel hebben we folie om het hele jaar nog te produceren. Ik zou dit in de gaten houden en ten laatste schakelen naar nieuwe folie eerste run 2025 is dit ok? of moet dit vroeger? Belgische frieten: we hebben nog folie tot begin november. Klassieke frieten: we hebben nog folie tot begin oktober - bij schakelen naar nieuwe folie, schakelen we ook naar de regular cut. Groetjes, Marlies Marlies De Ketele Customer Experience Officer Agristo nv P +32 56 54 09 63 M +32 472 41 34 87 thread::bFvP7frNFjOxdDBxYI1He3Q::;False;
Aldi SAWLEY DEL 07/09;Hi, Please see below order for delivery to Aldi : Order Date Del.Date Del.Address Fullers Ord.No. Asda PO Product Code Description Qty Pallets Unit Delivery Time 30/08/2024 07/09/2024 ALDI SAWLEY DC 1050125 6500735086 COAL099 ALDI SWEET POTATO FRIES 20X500G 240 4 Case 0 30/08/2024 07/09/2024 ALDI SAWLEY DC 1050125 6500735086 COAL151 ALDI SKIN ON FRIES 12X1KG 1320 22 Case 0 EDI: 657584 DEL DATE: 07/09/2024 Please confirm receipt. Thanks, Sarah;False;
account;"Many thanks indeed [cid:ignored-in-diff-1DCF330B-28A4-4206-8BA9-0ECCF41AF1E0] Richard​​​​ Storer Regional Sales Director UK & Ireland T +44 1244 562 128<tel:+44%201244%20562%20128> • M +44 7792 772536<tel:+44%207792%20772536> Ridder de Ghellinckstraat 9 • 8710 Wielsbeke • Belgium • www.agristo.com<https://eu.content.exclaimer.net?url=https%3A%2F%2Fwww.agristo.com%2F&tenantid=R5mU58TWEe6F-gAiSH-K5g&templateid=f39dfd12db3def1186c3000d3aaa3a50&excomponentid=E_Xg2xpZEE7COvcAHBDP1EjLNrmijgfYCtnikvl0Y9o&excomponenttype=Link&signature=iFzMwqF297Gnrm9dssB9y6ZrUX6ui-gbIW3mmKrmZFU0fKOdCY7CBRtJiGe_Spn4dNtCSo7Dz3SqIjt40FOTSKqvA4CSyfr_2rdEcKiywYfk52eQDa3TP0yee1aLPqWhlT2-VWyiSjlwfPeFC2XwjArwx6eH8DXqSxKsPDk9zRTDisnzduRzC5ojXNfUDKcsXK30zIlw0nO2bRD_7benWToceZV3s_7YbFbU3vGih3dwe7J_ewazTQT4GtDl-pg3BF4NpNhrrDUxkkXgyyy9lKCK6ZoEagBoNlU-jxW4a96QCUEXG9ZPC0VjWmDRcOTQgLwZs2UYlVAA1eRt3wY-fw&v=1> [Fun for the whole family, check]<https://eu.content.exclaimer.net?url=https%3A%2F%2Fagristo.com%2Fconcepts%2Ffood-for-the-whole-family-check%3Futm_source%3Dsignature%26utm_medium%3Demail%26utm_campaign%3Dconcept_wholefamily&tenantid=R5mU58TWEe6F-gAiSH-K5g&templateid=f39dfd12db3def1186c3000d3aaa3a50&excomponentid=fNzOg0PRePB_qa6Mf1q61yBAZ1vsG7z38CkDqnxAhGw&excomponenttype=Image&signature=B-su3AcuzsJMugbhZ43HrZc6pP5ApplTbQ1cQ_kKJhhvYF6G7xNE7qCoJY6R5V3ikbQBOsz6Fwf1teT29hHZDiw7PzAUYmAI_Tgjh-No_OeIriob_5p2bPZtZf0K9RdQ1LsIpp-RHd2ZVML1CjvpAwrC85vyp0EQhzEeskjSp_mmFcMDYTyXFShzvlIhXDEjdJmBVezUTnzy_uH_6TlD9irZw_eHkt3uQ0LvBN-KBocevs8MDnYfAvcAogPi_uOjqQsclacaERqhtlXGTnd_2r0Rvot1_eabmeXIJTRSJe5iT3MWNK-goFudGrPMfMWMsmbWXvyxX7kK_Tt9H40rvA&v=1> ________________________________ From: Neil Fox <accounts@icsukltd.co.uk> Sent: Friday, August 30, 2024 11:53:32 AM To: Richard Storer <Richard.Storer@agristo.com> Cc: Sid Musa <Sid@icsukltd.co.uk>; Agristo Salesforce service <service@agristo.com> Subject: account Richard, Payment today to give more time to work on account: Invoice 90619020 -28,059.40 Invoice 90619185 -26,933.00 Invoice 90619088 -26,194.50 Invoice 90619324 -26,933.00 30.08.24 -108,119.90";False;
Orders september en oktober;Goedemiddag, In de bijlage de aangepaste orders. Met vriendelijke groeten, Marjolein Abbo Supply Chain Planner Mobile: +31 6 39079787 Mail: marjoleinabbo@farmfrites.com<mailto:marjoleinabbo@farmfrites.com> Web: www.farmfrites.com<http://www.farmfrites.com> [cid:image002.png@01DAFADE.B52F7180] The information in this email is confidential and may be legally privileged. If you are not the intended recipient, please notify the sender and delete the email and its full content from any computer. As this email may contain confidential information, any use, disclosure, retransmission or any other dissemination of its content is prohibited. For information about Farm Frites, direct your browser to www.farmfrites.com.;False;
Aldi BOLTON DEL 06/09;Hi, Please see below order for delivery to Aldi : Order Date Del.Date Del.Address Fullers Ord.No. Asda PO Product Code Description Qty Pallets Unit Delivery Time 30/08/2024 06/09/2024 ALDI STORES LTD (BOLTON) 1050142 213011 COAL156 ALDI ALPHABET LETTERS 16X454G 420 6 Case 504 30/08/2024 06/09/2024 ALDI STORES LTD (BOLTON) 1050142 213011 COAL143 ALDI WAFFLES 12X680G 750 10 Case 504 30/08/2024 06/09/2024 ALDI STORES LTD (BOLTON) 1050142 213011 COAL106 ALDI HASH BROWN 12X750G 700 10 Case 504 EDI: 657592 DEL DATE: 06/09/2024 TIME: 5:04am Please confirm receipt. Thanks, Sarah;False;
Loading next truck;"Dear Liesbeth, Good day I will check and inform you next week. Have a nice weekend Yours faithfully, Victoria Sidorenko Head of the Import and Logistics Department Master Spice LTD import@masterspice.net<mailto:import@masterspice.net> Phone: +38 (050) 696-75-99 +38 (044) 548-36-04 +38 (073) 644-55-33; [https://ci3.googleusercontent.com/mail-sig/AIorK4wheQ40K1jvGrndtWbIWnesUD8qxrYRaqOYUkWvX9TUmAo7QtjUMG-zqfLgvpozikUZOyM9bNw] www.masterspice.net<http://www.masterspice.net/> [https://ci3.googleusercontent.com/mail-sig/AIorK4wtninVHqpTqO4oVKJLAucIaF8y4Aq893GK-oLA_nW9AO9vgW_ZVAJIFFZdxVb1Se21pIEX5zA] пт, 30 серп. 2024 р. о 12:46 Agristo Service <service@agristo.com<mailto:service@agristo.com>> пише: Hi Victoria I was just wondering when you want to load your next truck and which PI you want to load. Thank you in advance [image] Liesbeth Soubry Customer Service Agristo nv P +32 56 54 11 59 thread::fHx-3sSOFf-l0kVgfHWlcXQ::";False;
Goods ready confirmation of PO 4506960340. Handover date 2024-09-10 00:00:00.;Dear NV Agristo, Please complete the goods ready confirmation regarding PO 4506960340. Pick up address: NL, 5047 SX, Tilburg, Heieinde 10 [https://www.survey-xact.dk/images/uploaded/XHPV87483J32]<https://www.survey-xact.dk/answer?key=5UNML8NZ8F72> Deadline for your goods ready confirmation: Pick up address in Denmark: Deadline 1 working day prior to handover date before 12.00 PM CET Pick up address outside Denmark: Deadline 2 working days prior to handover date before 2.00 PM CET For questions to goods ready confirmations contact order_ready@coop.dk. If the order contains dangerous goods, the necessay documents and UN number(s) must be sent to the carrier or transport@coop.dk. If any order is not picked up in time/as confirmed in the survey, please contact transport@coop.dk. Thank you for your help! Coop Transport, Goods Ready https://transport.coop.dk/answer?key=5UNML8NZ8F72;False;
Aldi BOLTON DEL 05/09;Hi, Please see below order for delivery to Aldi : Order Date Del.Date Del.Address Fullers Ord.No. Asda PO Product Code Description Qty Pallets Unit Delivery Time 30/08/2024 05/09/2024 ALDI STORES LTD (BOLTON) 1050143 213012 COAL151 ALDI SKIN ON FRIES 12X1KG 1560 26 Case 504 EDI: 657593 DEL DATE: 05/09/2024 TIME: 5:04am Please confirm receipt. Thanks Sarah;False;
PROBLÈME Commande ARSTO;Bonjour Staf, Pour la commande ARSTO, j'avais commandé des frites LME/NIS. Ref : ARSTO 01 palette 6/6 Présalé LEM/NIS 32 palettes 9/9 Présalé LEM/NIS Mais le client vient de me dire que vous avez chargé seulement des frites MY et il refuse donc sa livraison. Peux-tu vérifier ce qui a été chargé et me faire un retour rapidement stp car le transporteur est toujours sur place et attend mes instructions. Dans l'attente de ton retour. Bien cordialement, Nansifou GBADAMASSI SAGLAM DISTRIBUTION;False;
Bestellung der ALDI Suisse AG - Domdidier (10743/318050);;False;
PO Amendment;Hello, Please find attached amendment.;False;
account;Richard, Payment today to give more time to work on account: Invoice 90619020 -28,059.40 Invoice 90619185 -26,933.00 Invoice 90619088 -26,194.50 Invoice 90619324 -26,933.00 30.08.24 -108,119.90;False;
Aldi Packaging Sample;Hello, If you have any packaging film left over of the Aldi Mini Hash Brown Waffles, would it be possible to send a sample to our office? The address is 31 Westgate, Leeds, LS1 2RA, United Kingdom. If you could send at least 8 copies please. Thanks in advance. Many thanks, Charlotte;False;
Order BCF2401280 - 474060;Good afternoon Heather, Ok, I will check the orders and forcast and i will sent to you asap;False;
Order 474058 - BCF2401277 Delayed;Dear Heather, Do you have FRITES MAESTRO BATTERED JACKET WEDGES 2.5kg in stock ?I'll update the forcast and share it with you as soon as possible Cordialement /;False;
Slot booking  AGR8338952;Hola David, Ok, he cambiado la 301189 por la 301136. Saludos, Zoë Zoë Feys Customer Service Agristo nv P +32 56 54 11 67 --------------- Original Message --------------- From: David Soto [david@srosell.es] Sent: 30/08/2024 12:08 To: service@agristo.com Subject: Slot booking AGR8338952 Hola Zoë, Veo que de este slot booking para carga mañana, sobra un palet (32 Euros + 1 Blockpalet) no cabe todo. Del pedido 616350: Es posible cambiar la 308091, por Europalet? Si no es posible, quitar 1 palet de 308857. Saludos, David Soto Rosell .............................................................................. Waterstraat 40, B-8531 Harelbeke-Hulste, Belgium P + 32 56 73 50 32 M + 34.667.63.64.00 www.agristo.com Libre de virus.www.avast.com thread::wyg2XxL4GHSzb2YwG3DU13Q::;False;
Steak House Fries 9*18 Availability;Dear , Do you have Steakhouse fries 9*18 ? Can we get a quotation, logistic data ecc ?;False;
Aldi - Routine Test Certificates;Hoi Julie, analyses op ROWAF (307910 - 200°C fan - 15min) en BJ10 (308167 - 200°C fan -16-20min) Groetjes, Marlies Marlies De Ketele Customer Experience Officer Agristo nv P +32 56 54 09 63 M +32 472 41 34 87 --------------- Forwarded Message ---------------;False;
Newark booking 05.09.2024;Abbie Rogers Agristo P +44 7534 412 046 --------------- Forwarded Message ---------------;False;
Newark booking 05.09.2024;Thanks Lucie, booking confirmed! :) Abbie Rogers Agristo P +44 7534 412 046 --------------- Original Message ---------------;False;
Order attached - 241182;"Good Morning Angela This has been entered for you :) Thanks! Sara Ghasemian Customer Service Officer UK P +447534412045 --------------- Original Message --------------- From: Angela Turner [angela.turner@slf.uk.com] Sent: 30/08/2024 10:36 To: service@agristo.com; orders@agristo.com; victoria.bosworth@slf.uk.com; sara.ghasemian@agristo.com Subject: Order attached - 241182 Good morning Please find order attached, Many thanks Angela Angela Turner Assistant Buyer South Lincs Foodservice 01205 460 700 – ext 1267 Angela.turner@slf.uk.com southlincsfoodservice.co.uk Endeavour Way, Sutterton, Lincs. PE20 2JA thread::ac5SG8fmGta_T1_ykzbVb3Q::";False;
Increasing limit;Dear Fatima, Increasing the limit is a process that will take some time. Can you sent me the rapport as soon as possible please? We' still have orders blocked because of credit.;False;
NOMAD FOODS EUROPE - NOTIFICATION OF COMPLAINT - Case Number: 00488605;Dear Sanja, Thank you for bringing this matter to our attention. I have registered it in our system under case number 45527. I am very sorry to hear that you received a claim about a product clump that was found in the 750 g Aunt Bessie's Lightly Seasoned Potato Wedges. Batch information: Lotcode: L4 063 B04 0BJ 10:01 Production day: 03/03/2024 After reviewing the picture, I can indeed confirm that the foreign body is a clump of product/coating. There must have been some build-up of slivers/coating on a part of the production equipment and this must then have become dislodged at some point during the production. Normally this kind of clumps are removed by the optical sorter after freezing and before packing, but it appears that, despite our best efforts, some foreign material has escaped our monitoring system. Indeed, unfortunately, there is no system in the world that can fully detect and reject all these kind of clumps. Especially when the clump is below a “pile” of wedges (there is a constant product flow), it is difficult for the optical sorter to detect it. Based on the batch code, I have conducted an investigation into our production records of this specific batch. I cannot see anomaly in the production records of this batch. I also cannot see any remarks about product clumps in the results of our hourly quality checks. I am thus confident that this issue is not widespread and can confirm this does not impose any risk whatsoever. We apologize for any inconvenience that you may have suffered and are constantly investigating how we can improve our processes and improve our machinery. If you have any further concerns, please don't hesitate to contact me again.;True;Quality
